animeTitle	b'Katte ni Shirokuma'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.42
animeUsers	225
animeRank	
animePopularity	
animeDescription	b'A story about an albino brown bear and his woodland friends as they encounter various human artifacts in the woods and interact with them.\n\n(Source: PPP-Raw)'
animeRelated	[]
animeCharacters	[b'Shiro', b'Mother', b'Uribou', b'Dai-chan']
animeVoices	[b'\nOhara, Noriko\nJapanese\n', b'\nShou, Mayumi\nJapanese\n', b'\nMizushima, Yuu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNinomiya, Tsuneo\n\nAnimation Director, Character Design\n\n', b'\nKuni, Kawachi\n\nMusic\n\n']
