animeTitle	b'Fujoshi no Hinkaku'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.06
animeUsers	295
animeRank	
animePopularity	
animeDescription	b'Fujyoko is a 24 year old office worker. She admires her fashionable senpai Takayo, but one day she meets her at a doujinshi event.'
animeRelated	[]
animeCharacters	[b'Fujoko', b'Takayo']
animeVoices	[b'\nShindou, Kei\nJapanese\n', b'\nMatsuoka, Yuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUmoto, Yuuji\n\nDirector\n\n', b'\nAmagi, Reno\n\nOriginal Character Design\n\n']
