animeTitle	Mobile Suit Gundam: Hathaway's Flash 2
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	7543
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	"['Kidou Senshi Gundam: Senkou no Hathaway', ""Mobile Suit Gundam: Hathaway's Flash"", ""Mobile Suit Gundam: Hathaway's Flash 3""]"
animeCharacters	['Noa, Hathaway']
animeVoices	[]
animeStaff	[['Murase, Shukou', 'Director'], ['Kimura, Eriko', 'Sound Director'], ['Kasamatsu, Kouji', 'Sound Director'], ['Mutou, Yasuyuki', 'Script, Screenplay']]
