animeTitle	Hikari no Megami
animeType	Special
animeNumEpisode	1
releaseDate	2014-06-10 00:00:00
endDate	
animeNumMembers	
animeScore	6.59
animeUsers	3505
animeRank	
animePopularity	6406
animeDescription	A promotional video for the new Super Smash Bros Wii U and Super Smash Bros 3DS featuring Pit, Link, Dark Pit, and Palutena.
animeRelated	['Shin Hikari Shinwa: Palutena no Kagami']
animeCharacters	['Link', 'Palutena', 'Pit']
animeVoices	['Sasanuma, Akira', 'Hisakawa, Aya', 'Takayama, Minami']
animeStaff	[]
