animeTitle	Kingdom Hearts χ Back Cover
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.9
animeUsers	2072
animeRank	
animePopularity	7674
animeDescription	"Long ago, in the ""age of fairy tales,"" the world's light is protected by seven individuals who reside in Daybreak Town and wield unique weapons called ""Keyblades"": the Master of Masters and his six apprentices. A devastating conflict has been foreseen, and the world's end is imminent. In order to heal it, the Master of Masters gives his disciples unique roles and instructs them to form Unions comprised of other Keyblade wielders. Soon afterwards, the Master vanishes.

(Source: KH Wikia)"
animeRelated	[]
animeCharacters	['The Master of Masters', 'Ira', 'Invi', 'Ava', 'Aced', 'Luxu', 'Gula', 'Ephemer', 'Chirithy']
animeVoices	['Sugita, Tomokazu', 'Umehara, Yuuichirou', 'Hanazawa, Kana', 'Miyamoto, Yume', 'Kimura, Subaru', 'Tsuda, Kenjirou', 'Ishikawa, Kaito', 'Uemura, Yuuto', 'Kaneda, Tomoko']
animeStaff	[['Nomura, Tetsuya', 'Director, Script, Original Creator, Original Character Design'], ['Utada, Hikaru', 'Theme Song Composition'], ['Shimomura, Yoko', 'Music']]
