animeTitle	Dotanba no Manners
animeType	TV
animeNumEpisode	283
releaseDate	1984-10-03 00:00:00
endDate	1987-04-09 00:00:00
animeNumMembers	320
animeScore	
animeUsers	
animeRank	15473
animePopularity	14317
animeDescription	"An introduction to etiquette through the hapless antics of Mr. Dotanba, who manages to put his foot in it in innumerable social situations.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Dotanba']
animeVoices	['Sako, Masato']
animeStaff	[['Yoshida, Hiroshi', 'Storyboard'], ['Satou, Sanpei', 'Original Creator'], ['Wakabayashi, Tadao', 'Animation Director']]
