animeTitle	Shin Getter Robo
animeType	OVA
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.36
animeUsers	3467
animeRank	
animePopularity	5572
animeDescription	"Humanity is under attack by demonic creatures called Oni. Unable to fight back by any other means, the scientist Dr. Saotome creates a series of giant robots that harness the mysterious power of Getter Rays, giving them the strength necessary to fight the Oni. The strongest of these is Getter Robo, and Saotome must enlist three very different men to pilot it - martial artist Ryoma Nagare, criminal leader Hayato Jin, and monk Benkei Musashibou. Together, the Getter Team fights to end the Oni menace forever.

(Source: ANN)"
animeRelated	['Getter Robo']
animeCharacters	['Nagare, Ryouma', 'Jin, Hayato', 'Musashibo, Benkei', 'Professor Saotome', 'Abe, Seimei', 'Saotome, Michiru']
animeVoices	['Ishikawa, Hideo', 'Uchida, Naoya', 'Yanada, Kiyoyuki', 'Arimoto, Kinryuu', 'Koyasu, Takehito', 'Honda, Takako']
animeStaff	[['Kawagoe, Jun', 'Director, Storyboard'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Oonishi, Shinsuke', 'Script'], ['Sano, Takashi', 'Storyboard']]
