animeTitle	Chuldong! Super Wings
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15383
animeDescription	"Super Wings follows the adventures of an adorable jet plane named Jett who travels around the world delivering packages to children. On every delivery, Jett encounters new problems that he must solve with the help of his friends the ""Super Wings"": Dizzy, Jerome and Donnie. Together, the team explores different countries and learns the diversity of new cultures.

(Source: Official YouTube channel)"
animeRelated	['Chuldong! Super Wings 2']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
