animeTitle	b'Matenrou to Rinkai-ten'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Music video for the song Matenrou to Rinkai-ten by Sayonara Ponytail.'
animeRelated	[]
animeCharacters	[b'Yuyu', b'Shuka', b'Ayumin', b'Nacchan', b'Miina']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nOhashi, Takashi\n\nDirector\n\n', b'\nSayonara Ponytail\n\nTheme Song Performance\n\n', b'\nNakauchi, Yukie\n\nCharacter Design\n\n']
