animeTitle	Warau Salesman
animeType	TV
animeNumEpisode	103
releaseDate	1989-10-17 00:00:00
endDate	1992-09-29 00:00:00
animeNumMembers	4981
animeScore	6.67
animeUsers	718
animeRank	5239
animePopularity	6999
animeDescription	Each episode follows Fukuzou Moguro, a traveling salesman, and his current customer. Moguro deals in things that give his customers their heart's desire, and once his deals are made and their unhealthy desires are satisfied, Moguro's customers are often left with terrible repercussions, especially if they break the rules of his deals...
animeRelated	['Warau Salesman', 'Warau Salesman New', 'Warau Salesman Episode 0', 'Warau Salesman Dai SP-banashi', 'Warau Salesman Tokubetsu Bangumi']
animeCharacters	['Moguro, Fukuzou', 'Ooi, Takushi', 'Karao, Keiichi', 'Kurume, Hoshio', 'Wakasa, Manjirou', 'Mimizu, Kunio', 'Tanmi, Kazuhito', 'Uwame, Kazuo', 'Shiratama, Kyouichi', 'Sutami, Nashiya']
animeVoices	['Oohira, Tooru', 'Arakawa, Tarou', 'Shioya, Kouzou', 'Horikawa, Ryo', 'Naya, Rokurou', 'Meguro, Kousuke', 'Muramatsu, Yasuo', 'Masuoka, Hiroshi', 'Kimotsuki, Kaneta', 'Yamaguchi, Kappei']
animeStaff	[['Yonetani, Yoshitomo', 'Director, Episode Director, Storyboard'], ['Tanami, Yasuo', 'Script'], ['Tanaka, Kouhei', 'Music'], ['Fujiko, Fujio (A)', 'Original Creator']]
