animeTitle	Whistle! (ONA)
animeType	ONA
animeNumEpisode	Unknown
releaseDate	2016-12-17 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	11419
animeDescription	An adaption of the manga Whistle! which is to stream in 2017.
animeRelated	['Whistle!']
animeCharacters	['Kazamatsuri, Sho', 'Sato, Shigeki', 'Fuwa, Daichi', 'Mizuno, Tatsuya', 'Shiina, Tsubasa', 'Fujishiro, Seiji', 'Shibusawa, Katsuro', 'Sakurai, Miyuki', 'Katori, Yuuko', 'Takai, Masato']
animeVoices	['Horie, Shun', 'Kanemoto, Ryousuke', 'Eguchi, Takuya', 'Tachibana, Shinnosuke', 'Takagi, Motoki', 'Abe, Atsushi', 'Kondou, Takashi', 'Nanase, Ayaka', 'Oohata, Shintarou']
animeStaff	[['Makino, Yui', 'Theme Song Performance']]
