animeTitle	Dr. Slump Movie 03: Arale-chan Hoyoyo! Sekai Isshuu Dai Race
animeType	Movie
animeNumEpisode	1
releaseDate	1983-03-13 00:00:00
endDate	
animeNumMembers	
animeScore	6.24
animeUsers	393
animeRank	
animePopularity	10577
animeDescription	"Arale and her friends learn of a World Grand Prix being organised by the Radial Kingdom. The prize is marrying Princess Front (a dead ringer to Ms. Yamabuki) or 1 million dollars. Of course they decide to enter for the money. Not so for Dr. Mashirito; he is going for the princess and will stop at nothing to win! The princess though has her own plan, which involves Ms. Yamabuki, and that of course means even Dr. Slump decides to enter with his trusty Borobo. Let the race begin...

(Source: M74)"
animeRelated	['Dr. Slump: Arale-chan']
animeCharacters	['Norimaki, Arale', 'Norimaki, Senbei', 'Norimaki, Gajira', 'Dr. Mashirito', 'Yamabuki, Midori', 'Suppaman', 'Sarada, Kinoko', 'Soramame, Tarou', 'Kimidori, Akane', 'Daiou, Nikochan']
animeVoices	['Koyama, Mami', 'Utsumi, Kenji', 'Mukai, Mariko', 'Genda, Tesshou', 'Sugiyama, Kazuko', 'Furukawa, Toshio', 'Ootake, Hiroshi']
animeStaff	[['Okazaki, Minoru', 'Episode Director'], ['Toriyama, Akira', 'Original Creator'], ['Inoue, Toshiyuki', 'In-Between Animation'], ['Kikuchi, Shunsuke', 'Music']]
