animeTitle	Kakuchou Shoujo-kei Trinary: Ex.MV
animeType	Music
animeNumEpisode	5
releaseDate	2017-06-15 00:00:00
endDate	2017-11-30 00:00:00
animeNumMembers	
animeScore	6.17
animeUsers	308
animeRank	
animePopularity	10108
animeDescription	Extra music videos of Kakuchou Shoujo-kei Trinary with unique footage. Each one focuses on a single heroine who also sings the featured song. 
animeRelated	['Kakuchou Shoujo-kei Trinary']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
