animeTitle	Mamotte! Lollipop
animeType	TV
animeNumEpisode	13
releaseDate	2006-07-02 00:00:00
endDate	2006-09-24 00:00:00
animeNumMembers	
animeScore	6.63
animeUsers	10603
animeRank	
animePopularity	3816
animeDescription	"Nina, thinking it was a lolly, swallows an object called ""Crystal Pearl"". But the candy turns out to be a test for the magicians. To retrieve the crystal, a special medicine has to be made so now Zero and Ichii, the magicians, have to protect her from others while waiting for the medicine to be completed.

(Source: ANN, edited)"
animeRelated	['Mamotte! Lollipop']
animeCharacters	['Zero', 'Yamada, Nina', 'Ichii', 'Sherard, Forte', 'Sherard, San', 'Akatsuki, Nanase', 'Wan, Rokka', 'Ruby', 'Rill', 'Zura']
animeVoices	['Ootani, Miki', 'Shouji, Yui', 'Nakamura, Daisuke', 'Namiki, Noriko', 'Saitou, Momoko', 'Miyoshi, Rie', 'Nogawa, Sakura', 'Kobayashi, Akiko']
animeStaff	[['Nakamura, Noriyuki', 'Director'], ['Hamano, Kazuzou', 'Sound Director'], ['Shiraishi, Michita', 'Episode Director'], ['Hoshino, Makoto', 'Episode Director']]
