animeTitle	b'Hakumei no Tsubasa'
animeType	b'ONA'
animeNumEpisode	7
releaseDate	
endDate	
animeNumMembers	
animeScore	7.58
animeUsers	9200
animeRank	
animePopularity	
animeDescription	"b""Galar is a region where Pokemon battles have developed into a cultural sensation. Over the span of seven episodes, Pokemon: Twilight Wings will show in detail the dreams of Galar's residents, the realities they face, the challenges they must overcome and the conflicts they must resolve. In addition to these new stories, fans can expect to see a variety of Pokemon originally discovered in the Galar region appearing in the capsule series. \n\n(Source: Press Release)"""
animeRelated	[b'Pokemon (2019)', b'Hakumei no Tsubasa: Expansion - Hoshi no Matsuri']
animeCharacters	[b'John', b'Taxi Driver', b'Tommy', b'Kibana', b'Mary', b'Dande', b'Rurina', b'Sonia', b'Saitou', b'Nezu']
animeVoices	[b'\nYuuki, Aoi\nJapanese\n', b'\nOgino, Seirou\nJapanese\n', b'\nShindou, Kei\nJapanese\n', b'\nToriumi, Kousuke\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nAmamiya, Sora\nJapanese\n', b'\nLynn\nJapanese\n', b'\nKitamura, Eri\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamashita, Shingo\n\nDirector\n\n', b'\nMima, Masafumi\n\nSound Director\n\n', b'\nKishimoto, Taku\n\nScript\n\n', b'\nKinoshita, Sou\n\nScript\n\n']
