animeTitle	b'To Heart Omake'
animeType	b'Special'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.21
animeUsers	948
animeRank	
animePopularity	
animeDescription	"b'Six short ""Special Broadcasts"" (omake) were produced and aired after selected episodes. They lasted around five minutes and followed the general style of the main anime, although the characters are drawn as chibis.\n\n(Source: Wikipedia)'"
animeRelated	[b'To Heart']
animeCharacters	[b'HMX-12, Multi', b'Fujita, Hiroyuki', b'Kurusugawa, Ayaka', b'Himekawa, Kotone', b'Kamigishi, Akari', b'Kurusugawa, Serika', b'Miyauchi, Lemmy', b'Hoshina, Tomoko', b'Matsubara, Aoi', b'(HMX-13), Serio']
animeVoices	[b'\nHorie, Yui\nJapanese\n', b'\nIchijo, Kazuya\nJapanese\n', b'\nIwao, Junko\nJapanese\n', b'\nHikami, Kyouko\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n', b'\nKasahara, Rumi\nJapanese\n', b'\nHisakawa, Aya\nJapanese\n', b'\nIizuka, Mayumi\nJapanese\n', b'\nNeya, Michiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAquaplus\n\nOriginal Creator\n\n']
