animeTitle	Lupin III: Sweet Lost Night - Mahou no Lamp wa Akumu no Yokan
animeType	Special
animeNumEpisode	1
releaseDate	2008-07-25 00:00:00
endDate	
animeNumMembers	4640
animeScore	7.02
animeUsers	1837
animeRank	3720
animePopularity	7223
animeDescription	"Lupin scores a ""magic lamp"" and finds it does hold a genie. However, the stroke of 7PM strikes, and that is the last thing he remembers. Finding himself in Singapore, Lupin must battle his way past the forces of Colonel Garlic and discover the secret behind the lamp. But every time the clock strikes 7PM, his memory is wiped clean! How can Lupin piece together this puzzle, when he can't even remember what he is doing?!

(Source: Lupin III Encyclopedia)"
animeRelated	['Lupin III']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Zenigata, Kouichi', 'Gordon', 'Hennessy', 'Adam', 'Drew', 'Colonel Garlic']
animeVoices	['Kurita, Kanichi', 'Kobayashi, Kiyoshi', 'Masuyama, Eiko', 'Inoue, Makio', 'Naya, Gorou', 'Sugou, Takayuki', 'Tahara, Aruno', 'Shouji, Umeka', 'Tanaka, Misato', 'Ginga, Banjou']
animeStaff	[['Amino, Tetsuro', 'Director, Storyboard'], ['Okawa, Toshimichi', 'Script'], ['Harada, Tomoyo', 'Theme Song Performance'], ['Monkey Punch', 'Original Creator']]
