animeTitle	Sanrio Danshi
animeType	TV
animeNumEpisode	12
releaseDate	2018-01-06 00:00:00
endDate	2018-03-24 00:00:00
animeNumMembers	
animeScore	6.66
animeUsers	15289
animeRank	
animePopularity	2532
animeDescription	"Kouta Hasegawa is a completely normal high school student who likes his Pompompurin stuffed animal, a Sanrio character modelled after a Golden Retriever, which his grandmother gave him when he was young. However, an incident in which other kids accused him of being girly for liking Sanrio characters made him ashamed of his attachment to Pompompurin. 

Through a series of unexpected events, Kouta ends up meeting others at school who also like Sanrio characters—Yuu Mizuno, a flashy boy who is popular with girls; Shunsuke Yoshino, a member of the soccer team; Ryou Nishimiya, an underclassman who is a library assistant; and Seiichirou Minamoto, the student council president.

Through his new friends, Kouta learns that there is no need to be embarrassed for liking Sanrio characters; and together, they aim to create a play for the cultural festival in order to transform his normal school life into a sparkly one.

[Written by MAL Rewrite]"
animeRelated	['Sanrio Danshi']
animeCharacters	"['Mizuno, Yuu', 'Yoshino, Shunsuke', 'Hasegawa, Kouta', 'Nishimiya, Ryou', 'Minamoto, Seiichirou', 'Tsuchiya, Tadashi', ""Kouta's Mother"", 'Matsuo, Tomo', 'Sugami, Naoki', 'Machida, Yamato']"
animeVoices	['Saitou, Souma', 'Oosuka, Jun', 'Eguchi, Takuya', 'Kagura, Hiroyuki', 'Uchida, Yuuma', 'Suzuki, Chihiro', 'Inoue, Kikuko', 'Furukawa, Makoto', 'Kishio, Daisuke']
animeStaff	[['Kudou, Masashi', 'Director'], ['Eguchi, Takuya', 'Theme Song Performance'], ['Uchida, Yuuma', 'Theme Song Performance'], ['Saitou, Souma', 'Theme Song Performance']]
