animeTitle	Oh! Family
animeType	TV
animeNumEpisode	26
releaseDate	1986-10-06 00:00:00
endDate	1987-03-30 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	11156
animeDescription	"This story takes place in Florida, USA. The main characters are the lovable members of the Andersons; each one has his or her own different characterstics which conflict and support the others'. By going through many events (meaningful ones as well as weird ones) together, the bond between them grows stronger and tighter.

(Source: Baka-Updates)"
animeRelated	['Family!']
animeCharacters	['McGary, Leif', 'Anderson, Sharon', 'Anderson, Wilfred', 'Anderson, Kay', 'Anderson, Tracy', 'Anderson, Fea', 'Allen, Jonathan', 'Adam', 'Jack']
animeVoices	['Nanba, Keiichi', 'Takagi, Sanae', 'Tomiyama, Kei', 'Nakahara, Shigeru', 'Matsui, Naoko', 'Shimamoto, Sumi', 'Sugaya, Masako', 'Sawaki, Ikuya', 'Sasaki, Nozomu']
animeStaff	[['Ochiai, Masamune', 'Director, Episode Director, Storyboard'], ['Asada, Yuuji', 'Episode Director, Storyboard'], ['Kuriyama, Yoshihide', 'Episode Director, Storyboard'], ['Endou, Katsumi', 'Episode Director, Spotting']]
