animeTitle	Oshare Kozou wa Hanamaru
animeType	OVA
animeNumEpisode	1
releaseDate	1993-04-23 00:00:00
endDate	
animeNumMembers	912
animeScore	5.59
animeUsers	344
animeRank	10090
animePopularity	11363
animeDescription	"Kotobuki is a cheerful outgoing 14 year old girl. She's a young lady with good fashion sense and her favorite pass-time includes browsing through specialty shops, gift shops, and clothing stores. Her favorite store is ""Galopine Et Galopin"", a clothing store run by a young fashion designer named Hodaka-san. Hodaka is a handsome, quiet, reserved young man who's designs are making him very popular in the fashion world.

(Source: AniDB)"
animeRelated	['Oshare Kozou ni Hanamaru']
animeCharacters	['Kujou, Kazuomi', 'Kunishige, Hodaka', 'Fujiya, Kotobuki']
animeVoices	['Nanba, Keiichi', 'Hayami, Show', 'Mitsuishi, Kotono']
animeStaff	[['Endou, Takuji', 'Director'], ['Satou, Yuuzou', 'Key Animation'], ['Takahashi, Kumiko', 'Key Animation'], ['Katou, Hiroshi', 'Background Art']]
