animeTitle	Carnival Phantasm: Illya-jou
animeType	Special
animeNumEpisode	1
releaseDate	2011-10-28 00:00:00
endDate	
animeNumMembers	
animeScore	6.88
animeUsers	19147
animeRank	
animePopularity	3175
animeDescription	"A special feature based on a real-time run of the Fate/Hollow Ataraxia Visual Novel's mini-game, Illya's Castle. 

The key characters' voice actor/actress' participate in live commentary for the duration of the game."
animeRelated	['Carnival Phantasm']
animeCharacters	['Saber', 'Archer', 'Emiya, Shirou', 'von Einzbern, Illyasviel', 'Lancer', 'Toosaka, Rin', 'Matou, Sakura', 'Kotomine, Kirei', 'Rider', 'Caster']
animeVoices	['Kawasumi, Ayako', 'Suwabe, Junichi', 'Sugiyama, Noriaki', 'Kadowaki, Mai', 'Canna, Nobutoshi', 'Ueda, Kana', 'Shitaya, Noriko', 'Nakata, Jouji', 'Asakawa, Yuu', 'Tanaka, Atsuko']
animeStaff	[['Type-Moon', 'Original Creator']]
