animeTitle	Ginga Ojousama Densetsu Yuna: Shin'en no Fairy
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.16
animeUsers	913
animeRank	
animePopularity	8945
animeDescription	"Just when everything seems peaceful again for Yuna and her friends, a new enemy appears in the form of three robotic sisters. Yuna must once again become the Savior of Light to fight this strong, new evil.

(Source: ANN)"
animeRelated	['Ginga Ojousama Densetsu Yuna: Kanashimi no Siren']
animeCharacters	['Kagurazaka, Yuna', 'Ayako', 'Cube, Yuri', 'Kousaka, Erika', 'Genmu', 'Ichijouin, Misaki', 'Tokudaiji, Mai', 'Kyoka', 'Shiratori, Miki', 'Hoshiyama, Mami']
animeVoices	['Yokoyama, Chisa', 'Hikami, Kyouko', 'Takahashi, Miki', 'Yajima, Akiko', 'Inoue, Kikuko', 'Koorogi, Satomi', 'Ichiryusai, Teiya', 'Matsui, Naoko', 'Nishimura, Chinami', 'Fujino, Kaoru']
animeStaff	[['Shinbou, Akiyuki', 'Director'], ['Watanabe, Jun', 'Sound Director'], ['Uetake, Sumio', 'Script'], ['Yokoyama, Chisa', 'Theme Song Performance']]
