animeTitle	Additional Memory
animeType	Music
animeNumEpisode	1
releaseDate	2018-09-14 00:00:00
endDate	
animeNumMembers	
animeScore	7.21
animeUsers	2213
animeRank	
animePopularity	7105
animeDescription	"In the end, all that remains is a story. This story is that of Ayano Tateyama, whose fleeting existence left behind only memories. What does she remember when life flashes before her eyes? For her, more than anything else, she recalls regrets—of things left unsaid and feelings of love she could never convey.

[Written by MAL Rewrite]
"
animeRelated	['Mekakucity Actors', 'Shissou Word']
animeCharacters	['Tateyama, Ayano']
animeVoices	[]
animeStaff	[['Hatsune, Miku', 'Theme Song Performance'], ['Jin', 'Theme Song Lyrics, Theme Song Arrangement'], ['Sidu', 'Animation Director']]
