animeTitle	Alps no Shoujo Heidi
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	7.3
animeUsers	15223
animeRank	
animePopularity	3296
animeDescription	"After becoming an orphan, Heidi is forced to live with her grandfather Öhi, who lives in the Alps. She learns he's a very bitter man who only accepted by force to take her in. But Heidi's kindness may be able to open his heart. Together with the shepherd Peter and invalid Clara, she has lots of adventures.

(Source: adapted from ANN) "
animeRelated	['Teinenpi Shoujo Heidi', 'Teinenpi Shoujo Heidi CMs', 'Alps no Shoujo Heidi (1979)', 'Alps no Shoujo Heidi: Alm no Yama-hen', 'Alps no Shoujo Heidi: Heidi to Clara-hen', 'Alps no Shoujo Heidi Pilot', 'Hungry Days: Aoharu ka yo.']
animeCharacters	['Heidi', 'Alm-Onji', 'Peter', 'Sesemann, Clara', 'Rottenmeier', 'Dete', 'Sebastian', 'Großmutter', 'Doctor', 'Church tower guard']
animeVoices	['Sugiyama, Kazuko', 'Miyauchi, Kouhei', 'Ohara, Noriko', 'Yoshida, Rihoko', 'Asou, Miyoko', 'Nakanishi, Taeko', 'Kimotsuki, Kaneta', 'Nunami, Terue', 'Mizutori, Tetsuo']
animeStaff	[['Takahata, Isao', 'Director'], ['Tomino, Yoshiyuki', 'Storyboard'], ['Hayakawa, Keiji', 'Storyboard'], ['Saitou, Hiroshi', 'Storyboard']]
