animeTitle	Teekyuu 4 Specials
animeType	Special
animeNumEpisode	2
releaseDate	2015-08-28 00:00:00
endDate	
animeNumMembers	
animeScore	6.37
animeUsers	2409
animeRank	
animePopularity	7038
animeDescription	Unaired specials included in the Blu-ray and DVD release.
animeRelated	['Teekyuu 4']
animeCharacters	['Bandou, Marimo', 'Shinjou, Kanae', 'Takamiya, Nasuno', 'Oshimoto, Yuri']
animeVoices	[]
animeStaff	[['Itagaki, Shin', 'Director, Character Design'], ['Yashikin', 'Theme Song Arrangement, Theme Song Lyrics, Theme Song Composition'], ['Piyo', 'Original Character Design'], ['Terada, Tsugeo', 'Original Creator']]
