animeTitle	b'Aa! Megami-sama! (2011)'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.33
animeUsers	8644
animeRank	
animePopularity	
animeDescription	b'OVAs bundled with volumes 42, 43 & 46 of the Aa! Megami-sama! manga. '
animeRelated	[b'Aa! Megami-sama!', b'Aa! Megami-sama!: Tatakau Tsubasa']
animeCharacters	[b'Belldandy', b'Urd', b'Morisato, Keiichi', b'Skuld', b'Peorth', b'Hild', b'Maezono', b'Policeman', b'Furukawa, Mariko', b'Saga']
animeVoices	[b'\nInoue, Kikuko\nJapanese\n', b'\nTouma, Yumi\nJapanese\n', b'\nKikuchi, Masami\nJapanese\n', b'\nHisakawa, Aya\nJapanese\n', b'\nSakuma, Rei\nJapanese\n', b'\nTakashima, Gara\nJapanese\n', b'\nUchiyama, Kouki\nJapanese\n', b'\nTajiri, Hiroaki\nJapanese\n', b'\nIse, Mariya\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nGouda, Hiroaki\n\nDirector\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nfripSide\n\nTheme Song Performance\n\n', b'\nFujishima, Kousuke\n\nOriginal Creator\n\n']
