animeTitle	b'Pokemon Movie 05: Mizu no Miyako no Mamorigami Latias to Latios'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.16
animeUsers	64604
animeRank	
animePopularity	
animeDescription	"b""As they continue their journey through the Johto region, Satoshi and his friends visit Altomare, an island city that hosts an annual racing event called the Pok\xc3\xa9mon Water Race. While Takeshi and Kasumi are enjoying themselves, strange things seem to be happening to Satoshi\xe2\x80\x94he somehow loses the water race, sees some women attack a girl with their Pok\xc3\xa9mon, and despite them saving her, the girl later denies ever seeing Satoshi and Pikachu before!\n\nFortunately for Satoshi, his confusion clears up as he learns that the girl he and Pikachu saved earlier was actually a Pok\xc3\xa9mon named Latias, who likes to disguise herself as her human friend, Kanon. Latias and another Pok\xc3\xa9mon, Latios, are known as the Eon Pok\xc3\xa9mon, as they inhabit and guard Altomare along with a mystical blue sphere called the Soul Dew. An ancient legend of Altomare is highly connected to the Eon Pok\xc3\xa9mon and the Soul Dew, and is well known among the locals\xe2\x80\x94as well as among Latias' earlier assailants, the thief sisters Zanner and Lyon. As the thieves attempt to capture both the Eon Pok\xc3\xa9mon and the Soul Dew, Satoshi is forced to act in order to stop them from bringing disaster to Altomare.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Gekijouban Pocket Monsters: Mizu no Miyako no Mamorigami Latias to Latios', b'Pokemon', b'Pokemon: Pika Pika Hoshizora Camp']
animeCharacters	[b'Pikachu', b'Satoshi', b'Takeshi', b'Kasumi', b'Kanon', b'Latias', b'Latios', b'Kojirou', b'Musashi', b'Nyarth']
animeVoices	[b'\nOotani, Ikue\nJapanese\n', b'\nMatsumoto, Rica\nJapanese\n', b'\nUeda, Yuuji\nJapanese\n', b'\nIizuka, Mayumi\nJapanese\n', b'\nOrikasa, Fumiko\nJapanese\n', b'\nEbara, Masashi\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nHayashibara, Megumi\nJapanese\n', b'\nInuyama, Inuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYuyama, Kunihiko\n\nDirector\n\n', b'\nMima, Masafumi\n\nSound Director\n\n', b'\nAsada, Yuuji\n\nEpisode Director\n\n', b'\nSonoda, Hideki\n\nScript\n\n']
