animeTitle	Dragon Fist
animeType	OVA
animeNumEpisode	1
releaseDate	1991-03-20 00:00:00
endDate	
animeNumMembers	
animeScore	4.42
animeUsers	503
animeRank	
animePopularity	10452
animeDescription	The story follows Ling Fei-long, a Chinese transfer student living in Japan. Ling is the son of the leader of the White Dragon clan, one of four clans who live in the mountains of China and are descended from mythical beasts. After killing an ordinary human, Ling is banished to Japan so that he might learn about humanity and how to control his powers around them.
animeRelated	['Dragon Fist']
animeCharacters	['Fei-long, Ling', 'Kaga, Naoki', 'Henchman B', 'Henchman C', 'Henchman A', 'Sugiura', 'Katano, Fuyuka']
animeVoices	['Sasaki, Nozomu', 'Hashimoto, Kouichi', 'Nakahara, Shigeru', 'Koyasu, Takehito', 'Yamaguchi, Ken', 'Matsumoto, Yasunori', 'Nishihara, Kumiko']
animeStaff	[['Yamauchi, Shigeyasu', 'Director'], ['Hashimoto, Maiko', 'Theme Song Performance'], ['Kawai, Kenji', 'Music'], ['Araki, Shingo', 'Animation Director, Character Design']]
