animeTitle	b'Oni Chichi: Vacation'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.77
animeUsers	5332
animeRank	
animePopularity	
animeDescription	"b""The family holiday didn't quite live up to Airi Akizuki's expectations. Her stepfather, Kouzou Akizuki, decided to take her on a weekend trip to a ski resort\xe2\x80\x94after all, nothing brings a family closer than shedding some sweat under the crisp winter sky.\n\nHowever, as it soon turns out, Airi is not the most skillful skier out there. Moreover, as the wind picks up and a snowstorm looms on the horizon, the pair finds themselves trapped in a chilly cavern. They are losing heat at a frightening pace, but there is one activity that will keep them warm for sure.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Oni Chichi: Refresh\xe2\x99\xa5']
animeCharacters	[b'Akizuki, Airi', b'Akizuki, Marina', b'Akizuki, Kouzou']
animeVoices	[b'\nIgarashi, Hiromi\nJapanese\n', b'\nMizusawa, Kei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKinohara, Hikaru\n\nCharacter Design\n\n']
