animeTitle	Nameless Flipbook
animeType	ONA
animeNumEpisode	1
releaseDate	2009-10-21 00:00:00
endDate	
animeNumMembers	305
animeScore	5.31
animeUsers	155
animeRank	10875
animePopularity	14546
animeDescription	A short made for the stage event BIBLO held by the University of Tokyo, to be preformed by the dance group WISH. Though the director states that the performance will be slightly different from the animated video.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
