animeTitle	b'Garakuta-doori no Stain'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.5
animeUsers	472
animeRank	
animePopularity	
animeDescription	b'Mr. Stain, an artist/inventor, and his cat friend, Palvan, have numerous adventures concerning art supplies and junk found in Junk Alley. \n\n(Source: ANN)'
animeRelated	[b'Garakuta-doori no Stain: Epilogue']
animeCharacters	[b'Stain, Mr.', b'Palvan']
animeVoices	[b'\nUsui, Takayasu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMasuda, Ryuuji\n\nDirector\n\n', b'\nHALCALI\n\nTheme Song Performance\n\n']
