animeTitle	Otoko no Ko Ojousama
animeType	OVA
animeNumEpisode	1
releaseDate	2011-03-11 00:00:00
endDate	
animeNumMembers	
animeScore	6.09
animeUsers	1435
animeRank	
animePopularity	7849
animeDescription	Otoko no Ko Ojou-sama tells the story of a servant boy named Hikaru and his mistress Ayana. Ayana's favorite hobby is dressing the cute and girlish Hikaru in female clothes and video taping him as they engage in acts of pleasure.
animeRelated	[]
animeCharacters	['Shirayuri, Ayana', 'Aisaka, Hikaru']
animeVoices	['Misonoo, Mei']
animeStaff	[]
