animeTitle	Animation Seisaku Shinkou Kuromi-chan
animeType	OVA
animeNumEpisode	1
releaseDate	2001-03-30 00:00:00
endDate	
animeNumMembers	8771
animeScore	6.92
animeUsers	4335
animeRank	4086
animePopularity	5593
animeDescription	"After being inspired by the fictional anime, ""Luis Monde III"", Mikiko ""Kuromi"" Oguro goes to animation school and and finally lands the job of her dreams at Studio Petit. Upon arriving, she meets the head of production. Unfortunately for her, he dies soon after meeting her and passes his position unto her. Now that she's head of production of ""Time Journeys"", it's up to her to rally up the lazy animator's and finish the second episode in a week.

(Source: ANN)"
animeRelated	['Animation Seisaku Shinkou Kuromi-chan 2']
animeCharacters	['Oguro, Mikiko', 'Battobi', 'Hozumi, Hassaku', 'Fukami, Aoi', 'Shihonmatsu, Hamako', 'Tanonaka, Mizuho']
animeVoices	['Asou, Kaori', 'Matsumoto, Yoshirou', 'Okamura, Akemi', 'Yasuhara, Reiko', 'Itou, Eiji']
animeStaff	[['Daichi, Akitarou', 'Director, Storyboard'], ['Tamano, Harumi', 'Episode Director'], ['Masuda, Toshio', 'Music'], ['Ebina, Yasunori', 'Recording']]
