animeTitle	Shigutsman
animeType	OVA
animeNumEpisode	1
releaseDate	2009-11-08 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17670
animeDescription	"A Shiga prefecture promotional anime. It stars a superhero named Shigutsman, a portmanteau of ""shiga"" prefecture, ""guts,"" and ""man"" who lives in Shiga prefecture with other superheroes. Because there is so much peace, the superheroes don't have much to do besides go to community center meetings."
animeRelated	['Shittakaburi Kaitsuburi']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
