animeTitle	b'Go! Go! Kadendanshi'
animeType	b'ONA'
animeNumEpisode	78
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Go! Go! Kadendanshi 2nd Season']
animeCharacters	[b'Dryanna', b'Renjirou', b'Potton', b'Doramu']
animeVoices	[b'\nHanazawa, Kana\nJapanese\n', b'\nMatsui, Daigo\nJapanese\n', b'\nNakayama, Yuichirou\nJapanese\n', b'\nHamano, Kenta\nJapanese\n']
animeStaff	[]
