animeTitle	b'Ginban Kaleidoscope'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.32
animeUsers	20790
animeRank	
animePopularity	
animeDescription	"b""Figure skater Tazusa Sakurano is on the fast track to the Olympics. As a top contender, her chances rest on a single competition in Canada. However, during her program, she falls and hits her head on the ice, knocking her unconscious. At the same time, Canadian stunt pilot Pete Pumps goes down in a fiery blaze.\n\nAfter her devastating failure, Tazusa returns home to Japan, but she starts hearing a voice in her head. In reality, when Pete had arrived at the gates of heaven, he was denied access for his sins. Instead, he was told to wait 100 days and is now trapped in Tazusa's body! Unwilling to let this interrupt her life\xe2\x80\x94even if her body is a bit crowded\xe2\x80\x94Tazusa moves forward with skating, all while a pesky voice may just be able to help her achieve her dream.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Ginban Kaleidoscope']
animeCharacters	[b'Sakurano, Tazusa', b'Pumps, Pete', b'Miller, Dominique', b'Juiltyve, Ria Garnet', b'Takashima, Yuuji', b'Yano, Hitomi', b'Mishiro, Yukie', b'Honjou, Mika', b'Shitou, Kyouko', b'Nitta, Kazuya']
animeVoices	[b'\nKawasumi, Ayako\nJapanese\n', b'\nYoshino, Hiroyuki\nJapanese\n', b'\nOkamoto, Maya\nJapanese\n', b'\nNoto, Mamiko\nJapanese\n', b'\nKosugi, Juurouta\nJapanese\n', b'\nNakamura, Chie\nJapanese\n', b'\nSuzuki, Hiroko\nJapanese\n', b'\nInoue, Marina\nJapanese\n', b'\nMurai, Kazusa\nJapanese\n', b'\nChiba, Isshin\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakamatsu, Shinji\n\nDirector, Episode Director\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nYokote, Michiko\n\nScript\n\n', b'\nTakahashi, Natsuko\n\nScript\n\n']
