animeTitle	b'Nanatsu no Taizai: Imashime no Fukkatsu Joshou'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.26
animeUsers	22932
animeRank	
animePopularity	
animeDescription	b'An episode recapping Nanatsu no Taizai with additional scenes, aired before the new season in January 2018.'
animeRelated	[b'Nanatsu no Taizai', b'Nanatsu no Taizai: Seisen no Shirushi', b'Nanatsu no Taizai: Imashime no Fukkatsu', b'Nanatsu no Taizai: Kamigami no Gekirin']
animeCharacters	[b'Ban', b'Meliodas', b'King', b'Hawk', b'Gowther', b'Diane', b'Liones, Elizabeth', b'Merlin', b'Gilthunder']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nFLOW\n\nTheme Song Performance\n\n', b'\nGRANRODEO\n\nTheme Song Performance\n\n']
