animeTitle	Visitor
animeType	Special
animeNumEpisode	1
releaseDate	1998-11-07 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14446
animeDescription	" In the year 2099, one of NASA's Apollo rocket capsules is found in the Mongolian desert, where it appears to have been for 65 million years. Meanwhile on Mars, a strange black artifact of unknown origins is eating one of the planet's moons. Earth ship Davide is sent to investigate and is sucked into the vortex. Lila Mochizuki and her companions are suddenly a long, long way from home.

(Source: Animevice)"
animeRelated	[]
animeCharacters	['Mochizuki, Rira']
animeVoices	['Kawasumi, Ayako']
animeStaff	[]
