animeTitle	Wonder Bebil-kun
animeType	TV
animeNumEpisode	30
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14828
animeDescription	"No synopsis has been added for this series yet.

Click here to update this information."
animeRelated	[]
animeCharacters	['Bebil-kun', 'Ryota', 'Mukaeru', 'Shouko', 'Ruri', 'Papa', 'Mama', 'Tenchii']
animeVoices	['Nishimura, Chinami', 'Tsumura, Makoto', 'Sakurai, Takahiro', 'Hagiwara, Emiko', 'Machii, Miki', 'Cho', 'Kobayashi, Sanae', 'Watanabe, Kumiko']
animeStaff	[['Oomori, Takahiro', 'Director'], ['Ishinomori, Shoutarou', 'Original Creator'], ['Kishida, Takahiro', 'Character Design'], ['Wakakusa, Kei', 'Music']]
