animeTitle	b'Digimon Adventure 02'
animeType	b'TV'
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	7.23
animeUsers	130088
animeRank	
animePopularity	
animeDescription	"b'Taichi Yagami and his friends have moved on to junior high, but by that time, they have lost contact with their Digimon partners. Taichi is therefore surprised to suddenly receive a distress call summoning him to the Digital World. Once there, he learns that Digimon are living in fear of the mysterious Digimon Emperor, who is somehow suppressing their ability to Digivolve!\n\nIn the real world, Hikari Yagami and Takeru Takaishi reunite in the same fifth grade class. They share three schoolmates: Daisuke Motomiya, who reminds them both of Taichi; Miyako Inoue, a technical wizard; and Iori Hida, Miyako\'s neighbor. When these three children receive ""D-3"" Digivices, they\xe2\x80\x94along with Hikari and Takeru, who still possess their own original Digivices\xe2\x80\x94comprise the new generation of ""Chosen Children"" who must save the world once again. With the power of the Armored Digi-Eggs, they must thwart the Digimon Emperor\'s plans to spread his influence over the entire Digital World.\n\n[Written by MAL Rewrite]\n'"
animeRelated	[b'Digimon Zero Two', b'Digimon Savers', b'Digimon Tamers', b'Digimon Frontier', b'Digimon Xros Wars', b'Digimon Adventure: Bokura no War Game!', b'Digimon Adventure 02: Diablomon no Gyakushuu', b'Digimon Adventure 02 Movies', b'02']
animeCharacters	[b'Yagami, Hikari', b'Takaishi, Takeru', b'Ichijouji, Ken', b'Tailmon', b'Patamon', b'Motomiya, Daisuke', b'V-mon', b'Inoue, Miyako', b'Wormmon', b'Hida, Iori']
animeVoices	[b'\nAraki, Kae\nJapanese\n', b'\nHirata, Hiroaki\nJapanese\n', b'\nPark, Romi\nJapanese\n', b'\nTokumitsu, Yuka\nJapanese\n', b'\nMatsumoto, Miwa\nJapanese\n', b'\nKiuchi, Reiko\nJapanese\n', b'\nNoda, Junko\nJapanese\n', b'\nNatsuki, Rio\nJapanese\n', b'\nTakahashi, Naozumi\nJapanese\n', b'\nUrawa, Megumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSeki, Hiromi\n\nProducer\n\n', b'\nKimura, Kyotaro\n\nProducer\n\n', b'\nSakurada, Hiroyuki\n\nAssistant Producer\n\n', b'\nKakudou, Hiroyuki\n\nDirector, Episode Director\n\n']
