animeTitle	Peace Hame!
animeType	OVA
animeNumEpisode	6
releaseDate	2012-03-16 00:00:00
endDate	2013-04-19 00:00:00
animeNumMembers	9952
animeScore	7.08
animeUsers	3722
animeRank	
animePopularity	5313
animeDescription	"A second year high school student and a Kendo club member, Tamao Tsukamu, admires his senpai, the club captain, Kiritani Konome.

One fateful day, she asks him for a favor involving making special kinds of photos for the student graduation album."
animeRelated	['Peace Hame!']
animeCharacters	['Konome, Kiritani', 'Tsukamu, Tamao', 'Caldina, Kizaki', 'Miyanagi, Sena', 'Madoka, Michisato', 'Mogami, Haru', 'Kunitake, Sasugaki', 'Sayama, Saya']
animeVoices	['Takashiro, Mitsu', 'Kurusugawa, Isamu', 'Iino, Yuu', 'Takaguchi, Yukiko', 'Sanada, Akane']
animeStaff	[['Shiwasu no Okina', 'Original Creator'], ['Kasumi, Kyouka', 'Director of Photography']]
