animeTitle	Yawara!: Zutto Kimi no Koto ga...
animeType	Special
animeNumEpisode	1
releaseDate	1996-07-19 00:00:00
endDate	
animeNumMembers	2282
animeScore	7.24
animeUsers	841
animeRank	2713
animePopularity	9082
animeDescription	"Yawara Inokuma competes for Japan in the Atlanta Olympic Games as she meets with several familiar faces throughout the tournament.

(Source: ANN)"
animeRelated	['Yawara!']
animeCharacters	"['Inokuma, Yawara', 'Inokuma, Jigorou', 'Matsuda, Kousaku', 'Itou, Fujiko', 'Honami, Sayaka', 'Hanazono, Kaoru', 'Kamoda', 'Kazamatsuri, Shinnosuke', ""Nikkan Every's Editor-in-Chief"", 'Hanazono, Fukuko']"
animeVoices	['Minaguchi, Yuko', 'Nagai, Ichiro', 'Seki, Toshihiko', 'Kawashima, Chiyoko', 'Takamori, Yoshino', 'Sugawara, Masashi', 'Chafurin', 'Kamiya, Akira', 'Kishino, Kazuhiko', 'Koorogi, Satomi']
animeStaff	[['Asaka, Morio', 'Director, Storyboard'], ['Urakami, Yasuo', 'Sound Director'], ['Inoue, Toshiki', 'Script'], ['Urasawa, Naoki', 'Original Creator']]
