animeTitle	Fushigi Dagashiya: Zenitendou
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	5.99
animeUsers	114
animeRank	
animePopularity	10971
animeDescription	"Zenitendo is a mysterious candy store that only lucky people can reach. All the candy recommended by Beniko, the owner of the store, is perfectly suited to the buyer's troubles. However, it depends on whether the candy will be used or eaten correctly that it can bring happiness or misfortune.

(Source: MAL News)"
animeRelated	['Fushigi Dagashiya: Zenitendou Movie - Tsuri Taiyaki']
animeCharacters	['Sumimaru', 'Beniko']
animeVoices	['Katayama, Fukujuurou', 'Iketani, Nobue']
animeStaff	[['Hiroshima, Reiko', 'Original Creator'], ['jyajya', 'Original Character Design']]
