animeTitle	Shachou, Battle no Jikan Desu!
animeType	TV
animeNumEpisode	12
releaseDate	2020-04-05 00:00:00
endDate	2020-06-28 00:00:00
animeNumMembers	
animeScore	5.86
animeUsers	10246
animeRank	
animePopularity	3188
animeDescription	"Long ago, a goddess descended from Heaven and blessed the desolate land of Gatepia. As a result, gigantic gates appeared, leading to dungeons abundant in ""kirakuri,"" crystals containing the energy needed for the foundation of the world. This led to the formation of various companies of adventurers who would harvest kirakuri from the dungeons.

Following his father's disappearance inside one of the biggest gates in Gatepia, Minato is urged by his childhood friend Yutoria to become the president of his father's treasure-hunting company—the Kibou Company. He reluctantly agrees and meets with the other employees: the priest Makoto, the soldier Akari, and the accountant Guide.

Thus, Makoto begins his tenure as president. As he and his comrades strive to fulfill various missions and other assorted tasks in order to keep their small company alive, they will uncover the mystery behind their former leader's sudden departure.

[Written by MAL Rewrite]
"
animeRelated	[]
animeCharacters	['Minato', 'Yutoria', 'Akari', 'Makoto', 'Valmi', 'Guide', 'Marika', 'Raiba']
animeVoices	['Horie, Shun', 'Ichinose, Kana', 'Waki, Azumi', 'Aoyama, Yoshino', 'Uesaka, Sumire', 'Horie, Yui', 'Takahashi, Minami', 'Yashiro, Taku']
animeStaff	[['Ikeshita, Hironori', 'Director'], ['Ihara, Kenta', 'Script, Series Composition'], ['Ichinose, Kana', 'Theme Song Performance'], ['Waki, Azumi', 'Theme Song Performance']]
