animeTitle	The Gift
animeType	ONA
animeNumEpisode	1
releaseDate	2016-04-04 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16007
animeDescription	All shots are created with game engine Unity. In the short, a little girl wants to give a gift to her parents. She's then sucked into a fantasy-like world (via her imagination) where her stuffed animal helps her on her journey.
animeRelated	['The Peak']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
