animeTitle	Osomatsu-kun: Iyami wa Hitori Kaze no Naka
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.06
animeUsers	120
animeRank	
animePopularity	12286
animeDescription	VHS released by Nippon Columbia.
animeRelated	['Osomatsu-kun', 'Osomatsu-kun (1988)']
animeCharacters	['Iyami', 'Yowai, Totoko', 'Matsuno, Osomatsu', 'Chibita', 'Dayon', 'Hatabou', 'Dekapan', 'Nyarome']
animeVoices	['Kimotsuki, Kaneta', 'Matsui, Naoko', 'Inoue, You', 'Tanaka, Mayumi', 'Kamiyama, Takuzou', 'Mashiba, Mari', 'Oohira, Tooru']
animeStaff	[['Shigino, Akira', 'Director'], ['Mizumoto, Kan', 'Sound Director'], ['Akatsuka, Fujio', 'Original Creator'], ['Honma, Yusuke', 'Music']]
