animeTitle	Sekirei: Hajimete no Otsukai
animeType	Special
animeNumEpisode	1
releaseDate	2009-03-25 00:00:00
endDate	
animeNumMembers	50981
animeScore	7.06
animeUsers	28000
animeRank	3542
animePopularity	2475
animeDescription	"""Kusano's first errand"" - A ten minute OVA that came along with the 6th vol. limited edition of Sekirei. Kusano finally tires of nobody admitting her as Sahashi's potential wife, so she insists on joining Musubi and Tsukiumi on their shopping race to show her abilities. An iffy day ensues."
animeRelated	['Sekirei']
animeCharacters	['Tsukiumi', 'Musubi', 'Kusano', 'Matsu', 'Sahashi, Minato', 'Asama, Miya']
animeVoices	['Inoue, Marina', 'Hayami, Saori', 'Hanazawa, Kana', 'Endou, Aya', 'Tachibana, Shinnosuke', 'Ohara, Sayaka']
animeStaff	[['Fukunaga, Gen', 'Executive Producer'], ['Gokurakuin, Sakurako', 'Original Character Design, Original Creator'], ['Grundy, Jason', 'ADR Director']]
