animeTitle	Carnival Phantasm: HibiChika Special
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.35
animeUsers	16721
animeRank	
animePopularity	3299
animeDescription	A new episode of Carnival Phantasm released on the Type-moon Fes - 10th Anniversary Event - Blu-ray.
animeRelated	['Carnival Phantasm']
animeCharacters	['Emiya, Shirou', 'Toono, Shiki', 'Katsuragi, Chikagi', 'Hibino, Hibiki', 'Saber', 'Toosaka, Rin', 'Matou, Sakura', 'Lancer', 'Brunestud, Arcueid']
animeVoices	['Sugiyama, Noriaki', 'Nojima, Kenji', 'Sendai, Eri', 'Honda, Youko', 'Kawasumi, Ayako', 'Ueda, Kana', 'Shitaya, Noriko', 'Canna, Nobutoshi', 'Yuzuki, Ryouka', 'Tange, Sakura']
animeStaff	[['Kuribayashi, Minami', 'Theme Song Performance'], ['Faylan', 'Theme Song Performance'], ['Endoh, Masaaki', 'Theme Song Performance'], ['Hashimoto, Miyuki', 'Theme Song Performance']]
