animeTitle	Lupin III: Touhou Kenbunroku - Another Page
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.8
animeUsers	1486
animeRank	
animePopularity	7509
animeDescription	"Lupin has become a suspect in the murder of a professor named Theo Argent. The professor had just discovered the missing page of Marco Polo's Record of Observations of the East travel journal. As Lupin is being pursued by the police, he ends up getting unlikely help from the granddaughter of Theo Argent, Lisa. 

(Source: ANN) "
animeRelated	['Lupin III']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Argent, Lisa', 'Zenigata, Kouichi', 'Hiromi', 'Rumi', 'Berardi, Claudio', 'Ami']
animeVoices	['Kurita, Kanichi', 'Kobayashi, Kiyoshi', 'Sawashiro, Miyuki', 'Namikawa, Daisuke', 'Inoue, Marina', 'Yamadera, Kouichi', 'Park, Romi', 'Terasaki, Yuka', 'Tsuchida, Hiroshi', 'Tokui, Sora']
animeStaff	[['Kamegaki, Hajime', 'Director'], ['Shimizu, Youji', 'Sound Director'], ['Okuwaki, Masaharu', 'Storyboard'], ['Yamamoto, Yasuichiro', 'Storyboard, Key Animation']]
