animeTitle	Hungry Zombie Francesca!!
animeType	Music
animeNumEpisode	2
releaseDate	2013-03-20 00:00:00
endDate	2013-06-11 00:00:00
animeNumMembers	
animeScore	5.45
animeUsers	219
animeRank	
animePopularity	12462
animeDescription	Official music videos for Francesca released on the official Youtube and NND pages. The CDs of the songs was available for purchase as well. The animation was not reused for the TV series (which was made the following year) but they were included on the BD/DVD release of the TV series. 
animeRelated	['Francesca']
animeCharacters	['Francesca', 'Exorcist', 'Franken']
animeVoices	[]
animeStaff	[]
