animeTitle	Benkai to Ushiwakamaru
animeType	Movie
animeNumEpisode	1
releaseDate	1999-12-04 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17695
animeDescription	This is the story of the extraordinary Benkei, who after having met his enemy Yoshitsune in his childhood (then named 'Ushiwaka') came to guard him as a lifetime partner in later years.
animeRelated	['Ribbon no Kishi (1999)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
