animeTitle	b'Daitoshokan no Hitsujikai'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.89
animeUsers	48785
animeRank	
animePopularity	
animeDescription	"b'""The Shepherd,"" an urban legend of Shiomi Academy, is said to appear before hardworking students to grant them a wish. \n\nWhile engrossed in a book inside the school\'s renowned Great Library, Kyoutarou Kakei, a second year student and the Library Club\'s de facto president, receives an email from the Shepherd foretelling an event that will change his fate. Worried by the message, Kyoutarou rushes over to a nearby train station and encounters fellow student Tsugumi Shirasaki, whom he saves from being hit by a derailing train. Grateful for his heroic actions, Tsugumi joins the Library Club and invites Kyoutarou to participate in her mysterious ""Shiomi Happy Project."" Together with other new members of the club, they strive to make the academy a better place and uncover the identity of the enigmatic Shepherd.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Daitoshokan no Hitsujikai', b'Daitoshokan no Hitsujikai Picture Drama']
animeCharacters	[b'Kodachi, Nagi', b'Shirasaki, Tsugumi', b'Kakei, Kyoutarou', b'Suzuki, Kana', b'Sakuraba, Tamamo', b'Misono, Senri', b'Gizaemon', b'Ureshino, Sayumi', b'Mochizuki, Maho', b'Takamine, Ikkei']
animeVoices	[b'\nTanezaki, Atsumi\nJapanese\n', b'\nYonezawa, Madoka\nJapanese\n', b'\nMajima, Junji\nJapanese\n', b'\nSendai, Eri\nJapanese\n', b'\nSaitou, Yuka\nJapanese\n', b'\nYamamoto, Nozomi\nJapanese\n', b'\nTsuruoka, Satoshi\nJapanese\n', b'\nKashiwagi, Miyuu\nJapanese\n', b'\nNakajima, Saki\nJapanese\n', b'\nMorikubo, Shoutarou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNagai, Masaru\n\nProducer, Planning\n\n', b'\nNobuta, Yuu\n\nDirector, Episode Director, Key Animation\n\n', b'\nMorishita, Hiroto\n\nSound Director\n\n', b'\nYamauchi, Shigeyasu\n\nEpisode Director, Storyboard\n\n']
