animeTitle	M Ogui: Last Order
animeType	OVA
animeNumEpisode	1
releaseDate	2013-06-21 00:00:00
endDate	
animeNumMembers	5892
animeScore	6.39
animeUsers	2738
animeRank	
animePopularity	6553
animeDescription	"Anime adaptation of the same name manga by Kurosugi Shinsaku. 

Rina and Shiori are two women who are not to be messed with. One night, when out late in the karaoke bar, the staff of the karaoke bar tries to take advantage of the two ladies. There is a disagreement about the bill, but the two ex-gang ladies fight back. As revenge they decide to rape the karaoke staff and force them to have sex with each other."
animeRelated	['Buchiage!']
animeCharacters	['Rina', 'Megumi, Erika', 'Kenji', 'Tamura', 'Shiori']
animeVoices	['Mizuguchi, Matsuri', 'Hayase, Yayoi', 'Masuoka, Yuuji', 'Natsumura, Isuke', 'Iino, Yuu']
animeStaff	[['Oota, Hideta', 'Director'], ['Kurosugi, Shinsaku', 'Original Creator']]
