animeTitle	Kill la Kill Specials
animeType	Special
animeNumEpisode	2
releaseDate	2014-09-03 00:00:00
endDate	
animeNumMembers	
animeScore	7.7
animeUsers	101565
animeRank	
animePopularity	985
animeDescription	"Two specials released September 3rd, 2014, in the final volume of the Blu-ray/DVD releases.

One of them is a recap of the whole Kill la Kill anime which is 8:43 minutes long, while the other is a sequel to the anime which is 27:18 minutes long."
animeRelated	['Kill la Kill']
animeCharacters	['Matoi, Ryuuko', 'Kiryuuin, Satsuki', 'Mankanshoku, Mako', 'Hououmaru, Rei', 'Jakuzure, Nonon', 'Senketsu', 'Gamagoori, Ira', 'Mikisugi, Aikurou', 'Sanageyama, Uzu', 'Kiryuuin, Ragyou']
animeVoices	['Koshimizu, Ami', 'Yuzuki, Ryouka', 'Suzaki, Aya', 'Fujimura, Ayumi', 'Shintani, Mayumi', 'Seki, Toshihiko', 'Inada, Tetsu', 'Miki, Shinichiro', 'Hiyama, Nobuyuki', 'Park, Romi']
animeStaff	[['Imaishi, Hiroyuki', 'Director, 2nd Key Animation, Key Animation'], ['Aoi, Eir', 'Theme Song Performance'], ['GARNiDELiA', 'Theme Song Arrangement, Theme Song Composition, Theme Song Performance'], ['Hinata, Megumi', 'Theme Song Lyrics']]
