animeTitle	b'Konjiki no Gash Bell!!'
animeType	b'TV'
animeNumEpisode	150
releaseDate	
endDate	
animeNumMembers	
animeScore	7.54
animeUsers	46198
animeRank	
animePopularity	
animeDescription	"b""Takamine Kiyomaro, a depressed don't-care-about-the-world guy, was suddenly given a little demon named Gash Bell to take care of. Little does he know that Gash is embroiled into an intense fight to see who is the ruler of the demon world. All of the demons have to pick a master on Earth and duke it out with other demons until one survives. Needless to say, Kiyomaro becomes Gash's master, and through their many battles, Kiyomaro learns the importance of friendship and courage. """
animeRelated	[b'Konjiki no Gash!!', b'Konjiki no Gash Bell!!: 101 Banme no Mamono', b'Konjiki no Gash Bell!!: Mecha Vulkan no Raishuu', b'Konjiki no Gash Bell!!: Ougon no Chichi wo Motsu Otoko', b'Konjiki no Gash Bell!!: Hashire Gash!! Ubawareta Umagon']
animeCharacters	[b'Bell, Gash', b'Takamine, Kiyomaro', b'Folgore, Parco', b'Umagon', b'Kanchom\xc3\xa9', b'Tio', b'Mizuno, Suzume', b'Ooumi, Megumi', b'Brago', b'Bell, Zeon']
animeVoices	[b'\nOotani, Ikue\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nTakahashi, Hiroki\nJapanese\n', b'\nKoorogi, Satomi\nJapanese\n', b'\nKikuchi, Masami\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nAkiya, Tomoko\nJapanese\n', b'\nMaeda, Ai\nJapanese\n', b'\nKojima, Kazunari\nJapanese\n', b'\nTakano, Urara\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHamano, Takatoshi\n\nProducer\n\n', b'\nKaizawa, Yukio\n\nDirector, Episode Director\n\n', b'\nKakudou, Hiroyuki\n\nEpisode Director, Storyboard\n\n', b'\nShibata, Hiroki\n\nEpisode Director\n\n']
