animeTitle	Sore Ike! Zukkoke Sannin-gumi
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15292
animeDescription	"Based on Nasu Masamoto's Zukkoke Sannin-gumi juvenile novels series.

The main characters are 6 grade boys, Hachibei, Hakase, and Mo-chan. This anime shows their adventures.

(Source: AnimeNfo)"
animeRelated	['Zukkoke Sannin-gumi: Zukkoke Jikuu Bouken', 'Zukkoke Sannin-gumi no Hi Asobi Boushi Daisakusen', 'Zukkoke Sannin-gumi no Jitensha Kyoushitsu', 'Zukkoke Sannin-gumi no Bousai Kyoushitsu', 'Zukkoke Sannin-gumi no Koutsuu Anzen', 'Zukkoke Sannin-gumi: Kusunoki Yashiki no Guruguru-sama']
animeCharacters	['Yamanaka, Shotaro', 'Okuda, Miyoshi', 'Hachiya, Ryouhei', 'Okuda, Tokiko', 'Shinjou, Norio', 'Nagai-sensei', 'Takuwa-sensei', 'Narrator', 'Kaitou X', 'Yamanaka, Michiko']
animeVoices	['Matsumoto, Sachi', 'Tsuruoka, Satoshi', 'Takano, Urara', 'Kaida, Yuki', 'Ishizuka, Katashi', 'Nojima, Hirofumi', 'Tsuji, Shinpachi', 'Yanagiya, Kyoutarou', 'Harada, Daijiro', 'Yonekura, Aya']
animeStaff	[['Yamakawa, Norio', 'Producer'], ['Koshi, Shigeo', 'Director'], ['Hayase, Hiroyuki', 'Sound Director'], ['Nishizono, Satoru', 'Script, Series Composition']]
