animeTitle	ChäoS;Child: Silent Sky
animeType	Movie
animeNumEpisode	1
releaseDate	2017-06-17 00:00:00
endDate	
animeNumMembers	19098
animeScore	6.56
animeUsers	6768
animeRank	5786
animePopularity	4079
animeDescription	"Silent Sky is a combination of the additional episodes 13 and 14. It consists of the story in the future, three months after the incident that was similar to ""New Generation Madness"" and the disease Chaos Child Syndrome that brought by the past earthquake in Shibuya."
animeRelated	['ChäoS;Child']
animeCharacters	['Onoe, Serika', 'Miyashiro, Takuru', 'Arimura, Hinae', 'Kazuki, Hana', 'Kunosato, Mio', 'Yamazoe, Uki', 'Wakui, Shuuichi', 'Shinjou, Takeshi', 'Momose, Katsuko']
animeVoices	[]
animeStaff	[['Itou, Kanako', 'Theme Song Performance'], ['Shikura, Chiyomaru', 'Original Creator'], ['Honda, Kouhei', 'Background Art']]
