animeTitle	b'Miracle! Mimika'
animeType	b'TV'
animeNumEpisode	225
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Himeno Mimika is a daughter of historical cook family. She goes to a cooking school, Miracle Academy which train cooks all over the world. Vying with rivals, she brings out her gift, and she grows up as a cook.  \n\n(Source: AnimeNfo)'
animeRelated	[]
animeCharacters	[b'Himeno, Mimika']
animeVoices	[b'\nOmimura, Mayuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIke, Takeshi\n\nMusic\n\n']
