animeTitle	Dokidoki! Precure Movie: Mana Kekkon!!? Mirai ni Tsunagu Kibou no Dress
animeType	Movie
animeNumEpisode	1
releaseDate	2013-10-26 00:00:00
endDate	
animeNumMembers	3790
animeScore	6.83
animeUsers	1581
animeRank	4494
animePopularity	7783
animeDescription	"Mana is given a wedding dress which was worn by her mother and grandmother.
All of sudden a mysterious man named Matthew appears and takes her to the past world.
Mana is so glad to meet her grandmother and her beloved dog Maro that she had a long time ago, but she can't find two of her best friends Rikka and Alice. It looks her precious memories have been changed somehow.
If things continue as is, the future will be ruined, too.
The Precure girls have to fight to protect their memories and future!!

(Source: Crunchyroll)"
animeRelated	['Dokidoki! Precure']
animeCharacters	['Aida, Mana', 'Hishikawa, Rikka', 'Yotsuba, Alice', 'Kenzaki, Makoto', 'Madoka, Aguri', 'Marsh', 'Marie Ange', 'Yashima, Chihiro', 'Momota, Tsubasa', 'Nikaidou, Takuya']
animeVoices	['Nabatame, Hitomi', 'Kotobuki, Minako', 'Fuchigami, Mai', 'Miyamoto, Kanako', 'Kugimiya, Rie', 'Tanihara, Shosuke', 'Imai, Yuka', 'Ikki, Chihiro', 'Sakurai, Tsubasa', 'Satou, Takuya']
animeStaff	[['Itou, Naoyuki', 'Director'], ['Shida, Naotoshi', 'Key Animation'], ['Shinomiya, Yoshitoshi', 'Background Art'], ['Toudou, Izumi', 'Original Creator']]
