animeTitle	Get Ride! AMDriver
animeType	TV
animeNumEpisode	51
releaseDate	2004-04-05 00:00:00
endDate	2005-03-28 00:00:00
animeNumMembers	
animeScore	6.29
animeUsers	249
animeRank	
animePopularity	9730
animeDescription	"In the future, human beings are attacked by beings called the Bug-chine, which appeared a few years back. No normal human weapon can defeat the Bug-chine, but there is hope. It is the AMDrivers that will save the earth. They are solders using the latest ""AM Technology"". With overwhelming power, they will beat the Bug-chine one after another and become heroes, as well as capture the hearts of their fans.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Mei, Sera', 'Dira, Jenus', 'Lawrelia, Ragna', 'Frum, June', 'Wilcott', 'Krema, Taft', 'Diglahze', 'Honjo, Jack', 'Shasha', 'Nyrguise']
animeVoices	['Mizuno, Risa', 'Kujirai, Kousuke', 'Matsukaze, Masaya', 'Kobayashi, Akiko', 'Hayashi, Kazuo', 'Chiba, Isshin', 'Iwasaki, Masami', 'Toriumi, Kousuke', 'Myco', 'Kojima, Kazunari']
animeStaff	[['Miyake, Masanori', 'Producer'], ['Yamakawa, Norio', 'Producer'], ['Shiraishi, Michita', 'Episode Director'], ['Sokuza, Makoto', 'Episode Director']]
