animeTitle	Funi Funi Marshmallow
animeType	ONA
animeNumEpisode	1
releaseDate	2017-02-15 00:00:00
endDate	
animeNumMembers	174
animeScore	
animeUsers	
animeRank	15633
animePopularity	16501
animeDescription	An Kamio Japan character line, Funi Funi Marshmallow was originally released as a 3DS game people could purchase from the Japan Nintendo eShop. Now these cute marshmallow critters have their own show!
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
