animeTitle	Hao Pengyou
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	18417
animeDescription	"The duckling's mother went to her mother's house and entrusted the duckling to the Mother Chicken's care. Mother Chicken's child, Xiao Hua, asks the duckling to play the ""Eagle Catches the Chicks"" game with them. Later, the two children quarreled over a bug, and Xiao Hua ignored the duckling. The story follows the two children's interactions."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
