animeTitle	Yukiyo Ichiya Monogatari
animeType	OVA
animeNumEpisode	3
releaseDate	2004-03-18 00:00:00
endDate	2005-07-29 00:00:00
animeNumMembers	
animeScore	5.63
animeUsers	659
animeRank	
animePopularity	9750
animeDescription	"This three episode hentai centers around three love stories. Thief: A young woman wed to a much older man, he couldn't unsatisf her because he finished too fast, one day he leaves to sell some goods, and a Theif enters.

Female Pervert Warrior: During the feudal war era, one small country collapsed. While most of the royal family and relatives were killed, the princess and Shingo, her vassal, escaped. But a harsh fate was waiting for the princess.

Disgraced Bride: Once upon a time, a clan lord was betrothed to and fell in love with a princess. Her beauty made him speechless, and she always looked so happy. However, the lord's ''affection'' for princess Chiho became stronger every day, and she lives like a bird in a cage, constantly receiving the lord's hard love.

(Source: ANN) "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
