animeTitle	Shichinin no Nana
animeType	TV
animeNumEpisode	25
releaseDate	2002-01-10 00:00:00
endDate	2002-06-27 00:00:00
animeNumMembers	
animeScore	6.75
animeUsers	1143
animeRank	
animePopularity	6753
animeDescription	"Nana Suzuki winds up being split into seven copies of herself. Besides the original Nana, there's also a smart Nana, a happy Nana, an angry Nana, a sensitive Nana, a sad Nana, and a slow Nana. 

(Source: ANN)"
animeRelated	['Shichinin no Nana', 'Shichinin no Nana: Oshougatsu Da yo! 7 x 7 = 49-nin no Nana?']
animeCharacters	['Nanacchi', 'Suzuki, Nana', 'Nanarin', 'Nanakko', 'Nanappe', 'Nanapon', 'Onodera, Hitomi', 'Nanasama', 'Saburo, Mutsumi', 'Kamichika, Yuuichi']
animeVoices	['Asaki, Mai', 'Mizuki, Nana', 'Fukui, Yukari', 'Akita, Madoka', 'Momomori, Sumomo', 'Nazuka, Kaori', 'Matsuki, Miyu', 'Nakahara, Mai', 'Ishida, Akira']
animeStaff	[['Imagawa, Yasuhiro', 'Director, Episode Director, Script, Storyboard, Original Creator, Series Composition'], ['Honda, Yasunori', 'Sound Director'], ['Nakamura, Ryuutarou', 'Episode Director, Storyboard'], ['Watanabe, Takashi', 'Episode Director, Storyboard']]
